2.9676 0.0103434
3.18139 -0.0147791
1.11539 0.283129
0.205139 0.408801
3.74352 -0.0154219
3.26732 -0.0853475
3.45498 -0.0787626
0.578822 1.06346
2.23698 0.24403
1.29631 0.617453
2.79716 0.00271045
1.12141 0.27591
2.5025 0.0020773
3.85876 -0.391173
0.310194 1.28394
0.457685 1.04165
2.37273 0.285334
3.92962 -0.405329
0.840927 0.0363699
0.658271 0.171078
0.300694 1.32455
3.13862 -0.0650767
1.3105 0.785076
3.26952 -0.119516
2.276 0.0512077
2.44684 0.0742034
0.672733 1.03804
2.24813 0.29842
3.60166 -0.158454
2.81931 0.0883558
1.92558 0.440106
3.18965 -0.00707194
2.91606 0.0327278
3.78644 -0.36933
3.25403 -0.0141213
0.34144 1.18131
0.3703 1.14394
3.3104 -0.0652145
3.1975 -0.0636927
1.22828 0.326329
3.14575 4.60225
2.54667 5.04515
3.24338 1.67311
2.99372 3.84818
2.90169 2.86218
2.7569 1.94883
1.09002 3.90154
1.12559 1.94329
1.06582 2.87912
3.76307 0.938315
1.35674 1.92614
3.87458 2.28975
3.58457 3.89269
3.40784 3.57815
1.76489 2.25368
0.25558 3.28285
0.31125 5.14662
0.729128 5.69007
3.59705 4.42433
2.39968 3.7989
1.53588 2.88863
3.32601 3.46289
3.10312 1.40004
2.63197 1.35295
1.36363 4.21323
0.488786 4.97597
2.49956 1.61359
0.447406 4.36043
3.54834 4.58108
0.866205 3.38013
0.491372 3.3761
2.22388 2.19068
3.92403 3.49099
0.357255 5.84245
2.67585 3.91901
2.01981 1.70182
3.9135 1.88907
2.83762 4.09781
1.79742 3.07088
3.18556 4.06827
